model,K,spk,local_t,clip_index,source_path,source_exact_count,source_payload_attempts,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wmcodec,2,chinese:SSB0273,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0273/chinese_SSB0273_03.wav,2,7,77,mean,1,1,1,11,0.6875,0.625000,4.4493,0.9927,21.19
wmcodec,2,chinese:SSB0287,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_01.wav,2,2,78,mean,1,0,0,13,0.8125,0.750000,4.4514,0.9895,14.78
wmcodec,2,chinese:SSB0287,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_02.wav,2,5,79,mean,1,1,1,12,0.7500,0.625000,4.3447,0.9886,15.77
wmcodec,2,chinese:SSB0287,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_03.wav,2,3,80,mean,1,1,1,12,0.7500,0.687500,4.4647,0.9906,16.40
wmcodec,2,chinese:SSB0288,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0288/chinese_SSB0288_01.wav,2,6,81,mean,1,1,1,9,0.5625,0.500000,4.4105,0.9915,19.05
wmcodec,2,chinese:SSB0288,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0288/chinese_SSB0288_02.wav,2,3,82,mean,1,1,1,11,0.6875,0.375000,4.4070,0.9927,18.04
wmcodec,2,chinese:SSB0288,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0288/chinese_SSB0288_03.wav,2,7,83,mean,1,1,1,11,0.6875,0.500000,4.4584,0.9920,18.91
wmcodec,2,chinese:SSB0299,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0299/chinese_SSB0299_01.wav,2,4,84,mean,1,1,1,13,0.8125,0.187500,4.3870,0.9929,18.09
wmcodec,2,chinese:SSB0299,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0299/chinese_SSB0299_02.wav,2,3,85,mean,1,1,1,12,0.7500,0.562500,4.5003,0.9919,18.19
wmcodec,2,chinese:SSB0299,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0299/chinese_SSB0299_03.wav,2,3,86,mean,1,1,1,12,0.7500,0.375000,4.3916,0.9905,18.08
wmcodec,2,chinese:SSB0307,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0307/chinese_SSB0307_01.wav,2,11,87,mean,1,1,1,8,0.5000,0.500000,4.4993,0.9897,17.44
wmcodec,2,chinese:SSB0307,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0307/chinese_SSB0307_02.wav,2,5,88,mean,1,1,1,13,0.8125,0.500000,4.5035,0.9913,18.51
wmcodec,2,chinese:SSB0307,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0307/chinese_SSB0307_03.wav,2,4,89,mean,1,1,1,12,0.7500,0.500000,4.4800,0.9892,18.54
wmcodec,2,chinese:SSB0309,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0309/chinese_SSB0309_01.wav,2,2,90,mean,1,1,1,9,0.5625,0.375000,4.4535,0.9915,18.09
wmcodec,2,chinese:SSB0309,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0309/chinese_SSB0309_02.wav,2,4,91,mean,1,1,1,10,0.6250,0.562500,4.4547,0.9936,19.49
wmcodec,2,chinese:SSB0309,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0309/chinese_SSB0309_03.wav,2,7,92,mean,1,1,1,15,0.9375,0.375000,4.2900,0.9912,17.15
wmcodec,2,chinese:SSB0315,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0315/chinese_SSB0315_01.wav,2,4,93,mean,1,1,1,10,0.6250,0.500000,4.4642,0.9909,18.50
wmcodec,2,chinese:SSB0315,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0315/chinese_SSB0315_02.wav,2,2,94,mean,1,1,1,12,0.7500,0.625000,4.5002,0.9937,19.30
wmcodec,2,chinese:SSB0315,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0315/chinese_SSB0315_03.wav,2,4,95,mean,1,1,1,13,0.8125,0.562500,4.4932,0.9956,19.78
