model,trial_id,spk,local_t,K,target_id,target_hit,target_margin,d_hull
wavmark,30,chinese:SSB0073,0,8,35018,0,-7.00000000,1.85164020
wavmark,30,chinese:SSB0073,0,8,47513,0,-4.00000000,1.93334625
wavmark,30,chinese:SSB0073,0,8,50296,0,-8.00000000,1.92244544
wavmark,30,chinese:SSB0073,0,8,57566,0,-4.00000000,1.24604638
wavmark,31,chinese:SSB0073,1,8,5415,0,-2.00000000,1.56712551
wavmark,31,chinese:SSB0073,1,8,7858,0,-4.00000000,1.62958754
wavmark,31,chinese:SSB0073,1,8,16822,0,-8.00000000,2.28972862
wavmark,31,chinese:SSB0073,1,8,32797,0,-8.00000000,2.08935029
wavmark,31,chinese:SSB0073,1,8,38412,0,-5.00000000,1.87728356
wavmark,31,chinese:SSB0073,1,8,39190,0,-5.00000000,1.96012889
wavmark,31,chinese:SSB0073,1,8,46601,0,-3.00000000,1.50654005
wavmark,31,chinese:SSB0073,1,8,46976,0,-5.00000000,1.72681801
wavmark,31,chinese:SSB0073,1,8,50073,0,-6.00000000,1.86961898
wavmark,31,chinese:SSB0073,1,8,57880,0,-8.00000000,2.09340702
wavmark,32,chinese:SSB0073,2,8,19759,0,-3.00000000,1.64991582
wavmark,32,chinese:SSB0073,2,8,23578,0,-6.00000000,1.98039674
wavmark,32,chinese:SSB0073,2,8,30459,0,-8.00000000,2.17514367
wavmark,32,chinese:SSB0073,2,8,31316,0,-6.00000000,1.96440721
wavmark,32,chinese:SSB0073,2,8,32565,0,-4.00000000,1.69078593
wavmark,32,chinese:SSB0073,2,8,33935,0,-6.00000000,2.02660646
wavmark,32,chinese:SSB0073,2,8,47777,0,-4.00000000,1.51517039
wavmark,32,chinese:SSB0073,2,8,48045,0,-1.00000000,1.47740457
wavmark,32,chinese:SSB0073,2,8,49518,0,-5.00000000,1.79438067
wavmark,32,chinese:SSB0073,2,8,58244,0,-2.00000000,1.13720406
wavmark,33,chinese:SSB0080,0,8,6119,0,-4.00000000,1.63299316
wavmark,33,chinese:SSB0080,0,8,14558,0,-7.00000000,1.95401684
wavmark,33,chinese:SSB0080,0,8,21013,0,-3.00000000,1.55756508
wavmark,33,chinese:SSB0080,0,8,32033,0,-4.00000000,1.62940810
wavmark,33,chinese:SSB0080,0,8,39266,0,-7.00000000,2.06432685
wavmark,33,chinese:SSB0080,0,8,40391,0,-5.00000000,1.73205081
wavmark,33,chinese:SSB0080,0,8,47765,0,-3.00000000,1.64852876
wavmark,33,chinese:SSB0080,0,8,51327,0,-4.00000000,2.02901706
wavmark,33,chinese:SSB0080,0,8,62303,0,-6.00000000,1.99191916
wavmark,33,chinese:SSB0080,0,8,63166,0,-6.00000000,1.91384187
wavmark,34,chinese:SSB0080,1,8,2227,0,-4.00000000,1.48804762
wavmark,34,chinese:SSB0080,1,8,16030,0,-3.00000000,1.79284291
wavmark,34,chinese:SSB0080,1,8,23344,0,-10.00000000,2.55429637
wavmark,34,chinese:SSB0080,1,8,24949,0,-6.00000000,2.11513958
wavmark,34,chinese:SSB0080,1,8,26573,0,-5.00000000,1.86727761
wavmark,34,chinese:SSB0080,1,8,40046,0,-5.00000000,1.75330376
wavmark,34,chinese:SSB0080,1,8,47947,0,-7.00000000,2.09371627
wavmark,34,chinese:SSB0080,1,8,55501,0,-3.00000000,1.51244835
wavmark,34,chinese:SSB0080,1,8,62750,0,-7.00000000,2.09371627
wavmark,34,chinese:SSB0080,1,8,64447,0,-2.00000000,1.70859080
wavmark,35,chinese:SSB0080,2,8,6301,0,-6.00000000,1.56556073
wavmark,35,chinese:SSB0080,2,8,9296,0,-6.00000000,1.94254313
wavmark,35,chinese:SSB0080,2,8,20641,0,-4.00000000,1.43319714
