model,K,trial_id,spk,local_t,method,shift_ms,shifted_colluder_index,ASR,attribution_margin,PESQ,STOI
timbrewm,5,17,chinese:SSB0149,0,fwp,-10,2,1,0.27152634,2.6312,0.8795
timbrewm,5,17,chinese:SSB0149,0,mean,10,2,1,0.09529066,4.3618,0.9824
timbrewm,5,17,chinese:SSB0149,0,fwp,10,2,1,0.15931129,2.6268,0.8751
timbrewm,5,17,chinese:SSB0149,0,mean,-20,2,0,-0.05571651,3.5913,0.9794
timbrewm,5,17,chinese:SSB0149,0,fwp,-20,2,1,0.40062094,2.1022,0.8345
timbrewm,5,17,chinese:SSB0149,0,mean,20,2,1,0.01576805,4.1232,0.9793
timbrewm,5,17,chinese:SSB0149,0,fwp,20,2,1,0.14712334,2.1308,0.8266
timbrewm,5,17,chinese:SSB0149,0,mean,-50,2,0,-0.01358223,2.5555,0.9750
timbrewm,5,17,chinese:SSB0149,0,fwp,-50,2,1,0.28569889,1.7086,0.7892
timbrewm,5,17,chinese:SSB0149,0,mean,50,2,1,0.06137085,3.3570,0.9743
timbrewm,5,17,chinese:SSB0149,0,fwp,50,2,1,0.03999853,1.7567,0.7649
timbrewm,5,18,chinese:SSB0193,0,mean,0,-1,1,0.44068623,4.5130,0.9937
timbrewm,5,18,chinese:SSB0193,0,fwp,0,-1,1,0.19412470,4.4483,0.9961
timbrewm,5,18,chinese:SSB0193,0,mean,-10,3,1,0.27671862,4.2507,0.9798
timbrewm,5,18,chinese:SSB0193,0,fwp,-10,3,1,0.27319813,2.5745,0.8744
timbrewm,5,18,chinese:SSB0193,0,mean,10,3,1,0.26945782,4.4029,0.9796
timbrewm,5,18,chinese:SSB0193,0,fwp,10,3,1,0.12570953,2.5624,0.8738
timbrewm,5,18,chinese:SSB0193,0,mean,-20,3,1,0.28159094,3.5209,0.9761
timbrewm,5,18,chinese:SSB0193,0,fwp,-20,3,1,0.12267494,1.9629,0.8405
timbrewm,5,18,chinese:SSB0193,0,mean,20,3,1,0.25899744,4.0239,0.9762
timbrewm,5,18,chinese:SSB0193,0,fwp,20,3,1,0.04211998,2.0199,0.8320
timbrewm,5,18,chinese:SSB0193,0,mean,-50,3,1,0.34203005,2.6028,0.9682
timbrewm,5,18,chinese:SSB0193,0,fwp,-50,3,1,0.05749273,1.4410,0.7537
timbrewm,5,18,chinese:SSB0193,0,mean,50,3,1,0.27665901,2.8858,0.9672
timbrewm,5,18,chinese:SSB0193,0,fwp,50,3,0,-0.08663321,1.4634,0.7300
timbrewm,5,19,chinese:SSB0197,0,mean,0,-1,1,0.14635563,4.4697,0.9908
timbrewm,5,19,chinese:SSB0197,0,fwp,0,-1,1,0.27480221,4.4013,0.9934
timbrewm,5,19,chinese:SSB0197,0,mean,-10,4,1,0.22800159,3.9422,0.9735
timbrewm,5,19,chinese:SSB0197,0,fwp,-10,4,1,0.27185106,1.9841,0.8536
timbrewm,5,19,chinese:SSB0197,0,mean,10,4,1,0.22682667,4.0989,0.9732
timbrewm,5,19,chinese:SSB0197,0,fwp,10,4,1,0.13032293,1.9792,0.8577
timbrewm,5,19,chinese:SSB0197,0,mean,-20,4,1,0.15360212,3.2084,0.9695
timbrewm,5,19,chinese:SSB0197,0,fwp,-20,4,1,0.01873541,1.4436,0.7984
timbrewm,5,19,chinese:SSB0197,0,mean,20,4,1,0.15544128,3.5619,0.9698
timbrewm,5,19,chinese:SSB0197,0,fwp,20,4,1,0.04917097,1.4609,0.8055
timbrewm,5,19,chinese:SSB0197,0,mean,-50,4,1,0.10309410,2.0328,0.9614
timbrewm,5,19,chinese:SSB0197,0,fwp,-50,4,1,0.00694132,1.2146,0.7323
timbrewm,5,19,chinese:SSB0197,0,mean,50,4,1,0.11116409,2.4628,0.9619
timbrewm,5,19,chinese:SSB0197,0,fwp,50,4,0,-0.05981445,1.2173,0.7232
timbrewm,5,20,chinese:SSB0200,0,mean,0,-1,1,0.56032324,4.5129,0.9970
timbrewm,5,20,chinese:SSB0200,0,fwp,0,-1,1,0.12237978,4.4188,0.9948
timbrewm,5,20,chinese:SSB0200,0,mean,-10,0,1,0.23144674,4.0458,0.9821
