model,K,spk,local_t,gi,restart,start_id,objective,weights
wavmark,8,chinese:SSB0016,0,4,2,0,0.0000000398,0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000
wavmark,8,chinese:SSB0016,0,4,2,1,0.0000000309,0.00000000;0.50000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.50000000
wavmark,8,chinese:SSB0016,0,4,2,2,0.0000000219,0.50000000;0.00000000;0.00000000;0.50000000;0.00000000;0.00000000;0.00000000;0.00000000
wavmark,8,chinese:SSB0016,0,4,2,3,0.0000000265,0.00000000;0.00000000;0.50000000;0.00000000;0.00000000;0.00000000;0.50000000;0.00000000
wavmark,8,chinese:SSB0016,0,4,2,4,0.0000000254,0.00000000;0.50000000;0.00000000;0.00000000;0.00000000;0.00000000;0.50000000;0.00000000
wavmark,8,chinese:SSB0016,0,4,2,5,0.0000000225,0.50000000;0.00000000;0.50000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000
wavmark,8,chinese:SSB0016,0,4,2,6,0.0000000161,0.00000000;0.50000000;0.00000000;0.50000000;0.00000000;0.00000000;0.00000000;0.00000000
wavmark,8,chinese:SSB0016,0,4,3,0,0.0000000398,0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000
wavmark,8,chinese:SSB0016,0,4,3,1,0.0000000309,0.00000000;0.50000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.50000000
wavmark,8,chinese:SSB0016,0,4,3,2,0.0000000254,0.00000000;0.50000000;0.00000000;0.00000000;0.00000000;0.00000000;0.50000000;0.00000000
wavmark,8,chinese:SSB0016,0,4,3,3,0.0000000286,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.50000000;0.00000000;0.50000000
wavmark,8,chinese:SSB0016,0,4,3,4,0.0000000282,0.00000000;0.00000000;0.00000000;0.50000000;0.00000000;0.00000000;0.00000000;0.50000000
wavmark,8,chinese:SSB0016,0,4,3,5,0.0000000181,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.50000000;0.50000000
