model,k,trial_id,speaker,clip_index,source_path,valid_copy_count,payloads_tested,mixing,escaped,closest_member_bits,closest_member_bit_accuracy,pesq,stoi,si_sdr
audioseal,3,80,chinese:SSB0287,3,dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_03.wav,3,3,uniform,1,13,0.8125,4.5974,0.9998,34.36
audioseal,3,81,chinese:SSB0288,1,dataset/collusion_300/chinese/SSB0288/chinese_SSB0288_01.wav,3,3,uniform,1,12,0.7500,4.5946,0.9976,36.38
audioseal,3,82,chinese:SSB0288,2,dataset/collusion_300/chinese/SSB0288/chinese_SSB0288_02.wav,3,3,uniform,1,12,0.7500,4.6091,0.9984,37.55
audioseal,3,83,chinese:SSB0288,3,dataset/collusion_300/chinese/SSB0288/chinese_SSB0288_03.wav,3,3,uniform,1,14,0.8750,4.6048,0.9986,36.40
audioseal,3,84,chinese:SSB0299,1,dataset/collusion_300/chinese/SSB0299/chinese_SSB0299_01.wav,3,3,uniform,1,13,0.8125,4.5497,0.9998,35.32
audioseal,3,85,chinese:SSB0299,2,dataset/collusion_300/chinese/SSB0299/chinese_SSB0299_02.wav,3,3,uniform,1,14,0.8750,4.3141,0.9990,30.59
audioseal,3,86,chinese:SSB0299,3,dataset/collusion_300/chinese/SSB0299/chinese_SSB0299_03.wav,3,3,uniform,1,13,0.8125,4.5808,0.9988,34.86
audioseal,3,87,chinese:SSB0307,1,dataset/collusion_300/chinese/SSB0307/chinese_SSB0307_01.wav,3,3,uniform,1,11,0.6875,4.5669,0.9983,30.39
audioseal,3,88,chinese:SSB0307,2,dataset/collusion_300/chinese/SSB0307/chinese_SSB0307_02.wav,3,3,uniform,1,11,0.6875,4.5687,0.9985,33.20
audioseal,3,89,chinese:SSB0307,3,dataset/collusion_300/chinese/SSB0307/chinese_SSB0307_03.wav,3,3,uniform,1,15,0.9375,4.5946,0.9986,36.87
audioseal,3,90,chinese:SSB0309,1,dataset/collusion_300/chinese/SSB0309/chinese_SSB0309_01.wav,3,3,uniform,1,11,0.6875,4.5852,0.9988,35.51
audioseal,3,91,chinese:SSB0309,2,dataset/collusion_300/chinese/SSB0309/chinese_SSB0309_02.wav,3,3,uniform,1,13,0.8125,4.5622,0.9998,35.18
audioseal,3,92,chinese:SSB0309,3,dataset/collusion_300/chinese/SSB0309/chinese_SSB0309_03.wav,3,3,uniform,1,14,0.8750,4.5973,0.9997,38.52
audioseal,3,93,chinese:SSB0315,1,dataset/collusion_300/chinese/SSB0315/chinese_SSB0315_01.wav,3,3,uniform,1,15,0.9375,4.6196,0.9998,37.01
audioseal,3,94,chinese:SSB0315,2,dataset/collusion_300/chinese/SSB0315/chinese_SSB0315_02.wav,3,3,uniform,1,12,0.7500,4.6073,0.9999,36.84
audioseal,3,95,chinese:SSB0315,3,dataset/collusion_300/chinese/SSB0315/chinese_SSB0315_03.wav,3,3,uniform,1,13,0.8125,4.5910,0.9999,35.70
audioseal,3,96,chinese:SSB0316,1,dataset/collusion_300/chinese/SSB0316/chinese_SSB0316_01.wav,3,3,uniform,1,13,0.8125,4.6169,0.9995,37.04
audioseal,3,97,chinese:SSB0316,2,dataset/collusion_300/chinese/SSB0316/chinese_SSB0316_02.wav,3,3,uniform,1,14,0.8750,4.6041,0.9995,34.31
audioseal,3,98,chinese:SSB0316,3,dataset/collusion_300/chinese/SSB0316/chinese_SSB0316_03.wav,3,3,uniform,1,15,0.9375,4.6000,0.9995,36.49
audioseal,3,99,chinese:SSB0323,1,dataset/collusion_300/chinese/SSB0323/chinese_SSB0323_01.wav,3,3,uniform,1,13,0.8125,4.5561,0.9995,33.28
audioseal,3,100,chinese:SSB0323,2,dataset/collusion_300/chinese/SSB0323/chinese_SSB0323_02.wav,3,3,uniform,1,14,0.8750,4.5911,0.9997,36.72
